Total_Mels_1,Total_Mgls_1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.65564912,1
0.618183456,1
0.599450624,1
0.580717792,1
0.599450624,1
0.618183456,1
0.693114784,1
0.786778944,1
0.805511776,1
0.805511776,1
0.805511776,1
0.824244608,1
0.84297744,1
0.84297744,1
0.824244608,1
0.861710272,1
0.899175936,1
0.974107263,1
0.992840095,1
0.936641599,1
0.880443104,1
0.84297744,1
0.74931328,1
0.674381952,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
0.849056604,1
0.754716981,1
0.679245283,1
0.660377358,1
0.622641509,1
0.603773585,1
0.58490566,1
0.603773585,1
0.622641509,1
0.698113208,1
0.79245283,1
0.811320755,1
0.811320755,1
0.811320755,1
0.830188679,1
0.849056604,1
0.849056604,1
0.830188679,1
0.867924528,1
0.905660377,1
0.981132075,1
1,1
0.943396226,1
0.886792453,1
