Date/Time,Appl_1:InteriorEquipment:Electricity [J](Hourly),COOLING HVAC FAN PUMP_1 [J](Hourly),COOLING:ELECTRICITY_1 [J](Hourly),ELECTRICITY:UNIT_1 [J](Hourly),GAS:UNIT_1 [J](Hourly),HEATING HVAC FAN PUMP_1 [J](Hourly),HEATING:ELECTRICITY_1 [J](Hourly),HEATING:GAS_1 [J](Hourly),HEATING:PROPANE_1 [m3](Hourly),HPWHFAN:ELECTRICITY_1 [J](Hourly),METERCOOLINGDUCTLOSSESLATENT_1 [J](Hourly),METERCOOLINGDUCTLOSSESSENS_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTDEHUM_1 [J](Hourly),METERDELIVEREDCOOLINGLATENTHVAC_1 [J](Hourly),METERDELIVEREDCOOLINGSENS_1 [J](Hourly),METERDELIVEREDHEATINGSUPP_1 [J](Hourly),METERDELIVEREDHEATINGTOZONE_1 [J](Hourly),METERDHWDELIVERED_1 [J](Hourly),METERHEATINGDUCTLOSSES_1 [J](Hourly),METERPIPELOSSESUNIT_1 [J](Hourly),Misc_1:InteriorEquipment:Electricity [J](Hourly),Misc_1:InteriorEquipment:Gas [J](Hourly),PROPANE:UNIT_1 [m3](Hourly),PV:ELECTRICITY_1 [J](Hourly),SDHWPUMP:ELECTRICITY_1 [J](Hourly),TOTALLIGHTS:ELECTRICITY_1 [J](Hourly),VentFans_1:InteriorEquipment:Electricity [J](Hourly),WATERHEATING:GAS_1 [J](Hourly),WATERHEATING:PROPANE_1 [m3](Hourly) 
 01/01  01:00:00,374401.0118661388,0.0,0.0,1785871.0446673304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32797.9749756484,1069659.5597988063,0.0,0.0,0.0,0.0,308924.47300238566,32886.0,0.0,0.0 
 01/01  02:00:00,322803.86038115128,0.0,0.0,1582834.4451351697,1755428.0923118438,33253.74457085483,0.0,1755428.0923118438,0.0,0.0,785.1870981870811,0.0,0.0,-785.1870981870811,0.0,0.0,1443871.6914140823,102031.80957909764,136013.59166657728,16425.310100164195,1008536.1563817315,0.0,0.0,0.0,0.0,185354.6838014321,32886.0,0.0,0.0 
 01/01  03:00:00,275424.2100462132,0.0,0.0,1532556.5763397832,6312832.58001916,122702.122419421,0.0,4757034.341244043,0.0,0.0,571.8902979572168,0.0,0.0,-571.8902979572168,0.0,0.0,3771792.3905529717,174323.27738786833,509538.51656666738,4106.32752504106,977974.4546731942,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,1555798.2387751174,0.0 
 01/01  04:00:00,246941.4284444812,0.0,0.0,1515150.6454032108,7897373.209015086,164340.674793118,0.0,6122437.795126103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4819962.843715403,1077962.862873613,690231.1718980905,4106.32752504106,947412.7529646568,0.0,0.0,0.0,0.0,123569.78920095472,32886.0,1774935.4138889823,0.0 
 01/01  05:00:00,283584.255342467,0.0,0.0,1627441.8689974244,7199883.424647893,195615.36079920142,0.0,7199883.424647893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5652872.876330147,0.0,827022.2058529575,16425.310100164195,977974.4546731942,0.0,0.0,0.0,0.0,137381.7981825619,32886.0,0.0,0.0 
 01/01  06:00:00,331894.4502033306,0.0,0.0,1964046.1996343036,9352349.815091,213770.05579145414,0.0,7796543.0060194269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6109625.9537138049,0.0,907262.7517036796,114819.23502710936,1008536.1563817315,0.0,0.0,0.0,0.0,376959.53725778716,32886.0,1555806.8090715747,0.0 
 01/01  07:00:00,546388.5104781898,0.0,0.0,2968324.3468687508,15021530.490876819,283269.93821771597,0.0,10434527.54215255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8189575.742182877,3475013.642638094,1201499.0457544183,393628.34493246077,1130782.9632158809,0.0,0.0,0.0,0.0,884996.9349569638,122886.0,4587002.948724268,0.0 
 01/01  08:00:00,849122.5491360219,0.0,0.0,3433697.1234549779,4811633.401291851,130156.29562323545,0.0,3255996.119996732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2425273.327917402,115300.06811216308,505514.6518813526,418213.6648580268,1283591.4717585676,0.0,0.0,0.0,0.0,1119940.8069371533,50886.0,1555637.2812951185,0.0 
 01/01  09:00:00,1064601.7448981524,0.0,0.0,3633599.796812549,2647348.2196743905,31776.347783899124,0.0,1063003.2143680659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811864.7044160569,801610.7856057582,144581.3176877992,401788.3547578626,1314153.1734671049,0.0,0.0,0.0,0.0,1190182.5306633923,32886.0,1584345.0053063243,0.0 
 01/01  10:00:00,1469549.8287750323,0.0,0.0,4040289.2460140616,1772743.9450100102,275.8315497929347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2789.1692595974088,1236898.107548246,2789.1692595974088,352617.71490672996,1314153.1734671049,0.0,0.0,0.0,0.0,1223424.412222131,32886.0,1772743.9450100102,0.0 
