Showers,Sinks,CW,DW,Baths
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0067802,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0115841,,,
,,,,
,,,,
,0.0716326,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.1884766,,,
,0.0095469,,,
,0.0328975,,,
,0.0076619,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0228945,,,
,0.0199453,,,
,,,,
,0.0104287,,,
,,,,
,,,,
,0.0007601,,,
,,0.0334679,,
,,,,
,0.0107631,,,
,,,,
,0.0238675,,,
,0.0420189,,,
,,,,
,,,,
,,,,
,0.0967468,,,
,0.0700212,,,
,,,,
,,,,
,,0.0355268,,
,,0.066411,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.1447315,,
,,,,
,,,,
,,,,
,0.0213135,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.168501,,,
,0.0174217,,,
,,,,
,,,,
,,,,
,0.0268166,,,
,,,,
,,,,
,0.1159318,,,
,0.1807844,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.068197,,,
,0.0787777,,,
,0.011128,,,
,,,,
,0.0336881,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.006841,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0619033,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0002128,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0321374,,,
,0.0150502,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.021131,,,
,0.0436302,,,
,,,,
,,,,
,0.0398297,,,
,0.0034357,,,
,,,,
,,,,
,0.0158711,,,
,0.0041958,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0284585,,,
,,,,
,,,,
,,,,
,,0.0179855,,
,,,,
,0.0194892,,,
,0.0171177,,,
,0.0171177,,,
,,,,
,,,,
,,,,
,,,,
,0.0031317,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0207662,,,
,,,,
,,,,
,,,,
,,,,
,,0.0422487,,
,,,,
,,,,
,,,,
,0.0186683,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0003649,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0036789,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
